#NAME?,,,,,,,,,,,,,,
State,income per cap,employment rate,Unemployment rate,Number of rooms per person,Share of labour force with at least secondary education,Life expectancy at birth,Standardised mortality rate,"Air pollution, level of PM2.5",Homicide rate,Voter turnout in general election,Share of households with internet broadband access,Perceived social network support,Self-evaluation of life satisfaction,Perception of corrution
  GR3: Athens,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  GR4: Aegean Islands and Crete,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HUN: Hungary,9852,61.3,7.8,1.1,87.2,75.7,11.5,16.2,1.5,61.8,74,88.6,5,78.6
  HU1: Central Hungary,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  HU10: Central Hungary,11500,65.4,6.2,1.1,91.8,77,10.7,16.9,1.5,66.3,82,86.3,5,76.9
  HU2: Transdanubia,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  HU21: Central Transdanubia,10158,64.1,5.6,1.1,86.6,75.5,11.7,15,1.1,61.4,76,89.8,5.2,84
  HU22: Western Transdanubia,10126,65.6,4.6,1.1,87.9,76.1,11.4,15.4,1.5,62.7,77,85,5.3,83.7
  HU23: Southern Transdanubia,9093,58,7.8,1.2,84.9,75.2,11.8,14.4,2.2,59.1,73,91.4,4.8,80.8
  HU3: Great Plain and North,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  HU31: Northern Hungary,8614,54.9,10.4,1.1,84.1,74.2,12.5,15.3,1.2,60.3,66,87.5,4.5,80.8
  HU32: Northern Great Plain,8443,56.6,11.8,1,82.2,75.4,11.7,17.1,1,58.4,68,84.6,4.9,78.8
  HU33: Southern Great Plain,8953,59.3,9,1.1,86.3,75.6,11.6,17.2,1.9,58.3,68,89.5,4.8,77.9
ISL: Iceland,16635,81.3,4.9,1.6,67,82.1,7.3,1.8,0.3,81.5,93,96.9,7.4,62.9
  IS01: Capital Region,16635,82.3,5.4,1.6,75.8,82.1,7.3,2.9,0.5,79.6,93,97.6,7.1,59.7
  IS02: Other Regions,16635,81.5,4,1.6,62,82.1,7.5,1.7,0,82.7,91,95.6,7.3,57.2
IRL: Ireland,19964,63.5,11.3,2.1,80.5,81.1,7.9,5,1.8,69.7,80,96.8,7.1,53.6
"  IE01: Border, Midland and Western",17961,61.2,12.2,2.2,76.4,81.3,7.9,4.5,2.1,70.6,74,96,7.2,58.6
  IE02: Southern and Eastern,20620,64.4,10.9,2,82,81,8,5.2,1.7,69.6,82,97.2,7,54.3
ISR: Israel,9437,71.8,5.6,1.1,88.6,82.1,7.1,20.4,1.5,67.8,70.7,88.5,7.3,81.9
  IL01: Jerusalem District,6944,56.1,7.5,0.9,85.7,82.8,6.7,20.8,1.1,65.7,53.1,92.9,7.3,78
  IL02: Northern District,6723,61.4,7.3,1,83.3,81.2,7.7,20.7,1.5,61.1,61.5,81,7,78.2
  IL03: Haifa District,9913,72.1,6,1.3,88.5,81.9,7.3,19.6,1.5,59.7,67.2,85.4,7.3,80.3
  IL04: Central District,11281,79.1,4.8,1.2,90.4,83,6.7,18.5,1.4,68.2,77.4,90.5,7.4,81.9
  IL05: Tel Aviv District,12775,81.9,5.4,1.3,89.9,82.5,7,17,1.3,64.4,77.7,90.3,7.5,87.1
  IL06: Southern District,7900,67.2,6.9,1.2,89,80.8,7.7,21.6,2,58.7,73.6,91.2,7.4,84.9
ITA: Italy,18958,55.5,13.3,1.7,66.4,82.8,6.9,15.7,1.4,75.2,71,88.6,6.3,82.8
  ITC1: Piedmont,21498,63.4,11.3,1.8,65.7,82.7,7,22,0.6,77.3,71,92.9,6.5,86
  ITC2: Aosta Valley,22874,67,8.9,1.7,60.3,83,6.7,18.2,0,77,68,81,6.8,75
  ITC3: Liguria,21134,62,10.8,2,67.8,82.5,7.1,13.2,0.5,75.1,68,94.5,6,83.2
  ITC4: Lombardy,22642,65.9,8.2,1.7,67.8,83.5,6.5,26.8,0.6,79.6,75,88.1,6.3,85.6
  ITF1: Abruzzo,16529,54.9,12.5,1.8,68.6,82.9,6.9,9.2,0.8,75.9,69,91.7,6.1,93.3
  ITF2: Molise,16026,49.2,15.2,1.8,65.3,82.8,6.9,11,0.3,78.1,67,80.4,5.6,75.6
  ITF3: Campania,13171,39.6,21.7,1.5,61.1,81.1,7.9,12.4,1.3,67.9,64,85.8,5.6,83.8
  ITF4: Apulia,14330,42.5,21.5,1.6,58.5,83.1,6.7,10.1,1.1,69.9,66,85.2,5.9,88.1
  ITF5: Basilicata ,14808,47.9,14.7,1.6,65.8,82.8,6.8,8.6,0.3,69.5,61,90.5,6.4,85.9
  ITF6: Calabria,13709,39.8,23.4,1.7,63.7,82.5,7,10.7,2.4,63.1,61,85,5.4,85.6
  ITG1: Sicily,13376,39.4,22.2,1.7,59.5,81.9,7.4,9.3,8.5,64.6,62,86.3,5.9,87.1
  ITG2: Sardinia,15672,49.3,18.6,1.8,54.2,82.8,6.7,7.2,1.1,68.3,75,92.5,6.2,85.8
  ITH1: Province of Bolzano-Bozen,23986,72.3,4.4,1.6,70.4,83.9,6.3,16.6,0.4,82.1,79,93.2,6.7,89.7
  ITH2: Province of Trento,20817,67,6.9,1.7,74.4,83.9,6.4,13.8,0.8,80,77,93.2,6.7,89.7
  ITH3: Veneto,21067,64.9,7.5,1.8,68.3,83.4,6.6,21.2,0.2,81.7,73,88.9,6.3,80
  ITH4: Friuli-Venezia Giulia,21891,64.4,8,2,70.1,82.6,7,20.5,0.7,77.2,77,92.8,6.5,91.1
  ITH5: Emilia–Romagna,22858,67.8,8.3,1.8,68.7,83.4,6.6,16.2,0.6,82.1,77,87.5,6.3,86.9
  ITI1: Tuscany,20308,65.2,10.1,1.9,64.9,83.4,6.7,10.9,0.7,79.2,74,90.1,6.1,86.3
  ITI2: Umbria,19419,61.9,11.3,1.8,72.3,83.3,6.7,9.9,0.9,79.5,71,81.1,6.1,80
  ITI3: Marche,19766,63.6,10.1,1.8,67.5,83.6,6.5,8.1,0.5,79.8,74,87,6,86.7
  ITI4: Lazio,20818,59.1,12.5,1.7,75.1,82.8,6.9,9.5,0.9,77.5,73,92.4,6.1,88.2
JPN: Japan,19071,82.9,3.4,2,89.1,83,6,13.2,0.8,53.1,75,90.2,6.1,69.1
  JPA: Hokkaido,17848,77.9,4.2,1.9,86.8,82.7,6.1,8.2,0.6,56.4,61,87.5,6,73.9
  JPB: Tohoku,17644,83.1,3.4,2,86.3,82.4,6.2,10.1,0.5,52.6,62,88.5,5.7,71.4
"  JPC: Northern-Kanto, Koshin",19657,84.7,3.3,1.9,88.1,82.9,6.2,12.3,0.7,53.9,68,93.1,6.1,65.2
  JPD: Southern-Kanto,22420,81.2,3.5,1.8,91.9,83.1,5.9,15.8,0.9,53.2,82,89.3,6.1,69.3
