"SEC","Sector","TRANS","Transaction","MEAS","Measure","COU","Country","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","FRA","France","2016","2016","USD","US Dollar","0","Units",,,41364.44,,
"NA","National aggregates","SURF","Area","VALUE","Value","GRC","Greece","2016","2016","KM2","Square kilometres","0","Units",,,130820,,
"NA","National aggregates","POP","Population","VALUE","Value","GRC","Greece","2016","2016","HAB","Inhabitants","3","Thousands",,,10783.75,,
"NA","National aggregates","GDP","GDP","VALUE","Value","GRC","Greece","2016","2016","USD","US Dollar","9","Billions",,,288.42,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","GRC","Greece","2016","2016","GRWH","Growth rate","0","Units",,,-0.24,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","GRC","Greece","2016","2016","USD","US Dollar","0","Units",,,26745.65,,
"NA","National aggregates","SURF","Area","VALUE","Value","HUN","Hungary","2016","2016","KM2","Square kilometres","0","Units",,,93028,,
"NA","National aggregates","POP","Population","VALUE","Value","HUN","Hungary","2016","2016","HAB","Inhabitants","3","Thousands",,,9814.02,,
"NA","National aggregates","GDP","GDP","VALUE","Value","HUN","Hungary","2016","2016","USD","US Dollar","9","Billions",,,262.04,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","HUN","Hungary","2016","2016","GRWH","Growth rate","0","Units",,,2.21,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","HUN","Hungary","2016","2016","USD","US Dollar","0","Units",,,26700.76,,
"NA","National aggregates","SURF","Area","VALUE","Value","ISL","Iceland","2016","2016","KM2","Square kilometres","0","Units",,,100243,,
"NA","National aggregates","POP","Population","VALUE","Value","ISL","Iceland","2016","2016","HAB","Inhabitants","3","Thousands",,,336.06,,
"NA","National aggregates","GDP","GDP","VALUE","Value","ISL","Iceland","2016","2016","USD","US Dollar","9","Billions",,,16.81,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","ISL","Iceland","2016","2016","GRWH","Growth rate","0","Units",,,7.2,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","ISL","Iceland","2016","2016","USD","US Dollar","0","Units",,,50011.57,,
"NA","National aggregates","SURF","Area","VALUE","Value","IRL","Ireland","2016","2016","KM2","Square kilometres","0","Units",,,68394,,
"NA","National aggregates","POP","Population","VALUE","Value","IRL","Ireland","2016","2016","HAB","Inhabitants","3","Thousands",,,4683.42,,
"NA","National aggregates","GDP","GDP","VALUE","Value","IRL","Ireland","2016","2016","USD","US Dollar","9","Billions",,,339.48,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","IRL","Ireland","2016","2016","GRWH","Growth rate","0","Units",,,5.14,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","IRL","Ireland","2016","2016","USD","US Dollar","0","Units",,,72485.04,,
"NA","National aggregates","SURF","Area","VALUE","Value","ISR","Israel","2016","2016","KM2","Square kilometres","0","Units",,,21643,,
"NA","National aggregates","POP","Population","VALUE","Value","ISR","Israel","2016","2016","HAB","Inhabitants","3","Thousands",,,8546,,
"NA","National aggregates","GDP","GDP","VALUE","Value","ISR","Israel","2016","2016","USD","US Dollar","9","Billions",,,318.41,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","ISR","Israel","2016","2016","GRWH","Growth rate","0","Units",,,3.96,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","ISR","Israel","2016","2016","USD","US Dollar","0","Units",,,37269.57,,
"NA","National aggregates","SURF","Area","VALUE","Value","ITA","Italy","2016","2016","KM2","Square kilometres","0","Units",,,295114,,
"NA","National aggregates","POP","Population","VALUE","Value","ITA","Italy","2016","2016","HAB","Inhabitants","3","Thousands",,,60627.5,,
"NA","National aggregates","GDP","GDP","VALUE","Value","ITA","Italy","2016","2016","USD","US Dollar","9","Billions",,,2326.3,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","ITA","Italy","2016","2016","GRWH","Growth rate","0","Units",,,0.94,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","ITA","Italy","2016","2016","USD","US Dollar","0","Units",,,38370.45,,
"NA","National aggregates","SURF","Area","VALUE","Value","JPN","Japan","2016","2016","KM2","Square kilometres","0","Units",,,373530,,
"NA","National aggregates","POP","Population","VALUE","Value","JPN","Japan","2016","2016","HAB","Inhabitants","3","Thousands",,,126798,,
"NA","National aggregates","GDP","GDP","VALUE","Value","JPN","Japan","2016","2016","USD","US Dollar","9","Billions",,,5359.59,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","JPN","Japan","2016","2016","GRWH","Growth rate","0","Units",,,1.03,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","JPN","Japan","2016","2016","USD","US Dollar","0","Units",,,42268.73,,
"NA","National aggregates","SURF","Area","VALUE","Value","KOR","Korea","2016","2016","KM2","Square kilometres","0","Units",,,99461,,
"NA","National aggregates","POP","Population","VALUE","Value","KOR","Korea","2016","2016","HAB","Inhabitants","3","Thousands",,,51246,,
"NA","National aggregates","GDP","GDP","VALUE","Value","KOR","Korea","2016","2016","USD","US Dollar","9","Billions",,,1872.13,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","KOR","Korea","2016","2016","GRWH","Growth rate","0","Units",,,2.83,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","KOR","Korea","2016","2016","USD","US Dollar","0","Units",,,36532.26,,
"NA","National aggregates","SURF","Area","VALUE","Value","LUX","Luxembourg","2016","2016","KM2","Square kilometres","0","Units",,,2586,,
"NA","National aggregates","POP","Population","VALUE","Value","LUX","Luxembourg","2016","2016","HAB","Inhabitants","3","Thousands",,,584.13,,
"NA","National aggregates","GDP","GDP","VALUE","Value","LUX","Luxembourg","2016","2016","USD","US Dollar","9","Billions",,,59.59,,
"NA","National aggregates","GDP_GRWH","GDP year on year growth","VALUE","Value","LUX","Luxembourg","2016","2016","GRWH","Growth rate","0","Units",,,3.08,,
"NA","National aggregates","GDP","GDP","PER_CAP","Per capita","LUX","Luxembourg","2016","2016","USD","US Dollar","0","Units",,,102019.46,,
"NA","National aggregates","SURF","Area","VALUE","Value","NLD","Netherlands","2016","2016","KM2","Square kilometres","0","Units",,,33688,,
